Protein names,Gene names,OIS_CM,OIS_F20,OIS_F8,Vector_CM,Vector_F20,Vector_F8
Follistatin-related protein 1,FSTL1,33.12563333333333,29.573733333333337,24.71173333333333,34.44336666666667,29.2955,29.306833333333334
"Ferritin;Ferritin heavy chain;Ferritin heavy chain, N-terminally processed",FTH1,24.220133333333333,25.8513,23.396800000000002,24.77926666666667,25.11536666666667,24.696399999999997
Frizzled-6,FZD6,24.776799999999998,24.475599999999996,25.836833333333335,23.935100000000002,25.045933333333334,25.240666666666666
Growth arrest-specific protein 6,GAS6,27.8002,27.296233333333333,26.7158,30.317899999999998,26.847866666666665,28.423066666666667
Growth/differentiation factor 15,GDF15,32.540866666666666,29.562433333333335,31.505266666666667,26.46653333333333,30.165733333333332,29.64306666666667
Rab GDP dissociation inhibitor alpha,GDI1,28.025733333333335,24.783533333333335,27.724033333333335,27.090700000000002,27.140733333333333,24.816466666666667
Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1,GFPT1,23.871866666666666,24.594866666666665,25.862099999999998,24.5615,24.524933333333337,24.624133333333333
Gamma-glutamyltranspeptidase 1;Gamma-glutamyltranspeptidase 1 heavy chain;Gamma-glutamyltranspeptidase 1 light chain;Putative gamma-glutamyltranspeptidase 3;Putative gamma-glutamyltranspeptidase 3 heavy chain;Putative gamma-glutamyltranspeptidase 3 light chain,GGT1;GGT3P;GGT2,23.885433333333335,25.0988,26.85213333333333,24.548933333333334,25.393466666666665,24.741433333333333
PDZ domain-containing protein GIPC1,GIPC1,23.741466666666668,25.442400000000003,26.646800000000002,25.6207,25.39363333333333,25.125733333333333
Gap junction alpha-1 protein,GJA1,24.30783333333333,25.17016666666667,31.249166666666667,23.8404,24.086066666666667,29.189333333333334
Zinc finger protein GLI2,GLI2,23.909633333333336,24.504033333333336,24.082633333333334,24.577366666666666,25.273366666666664,25.459699999999998
Glioma pathogenesis-related protein 1,GLIPR1,23.77103333333333,25.134,25.519666666666666,24.288899999999998,25.243066666666664,24.806366666666666
Golgi-associated plant pathogenesis-related protein 1,GLIPR2,24.920533333333335,25.1925,28.55056666666667,24.656033333333337,25.858,29.875966666666667
Lactoylglutathione lyase,GLO1,26.781166666666667,24.803566666666665,23.5681,25.811766666666667,25.06126666666667,24.836066666666667
Guanine nucleotide-binding protein G(i) subunit alpha-1,GNAI1,24.53406666666667,24.398933333333332,27.113633333333336,24.448633333333333,24.955033333333333,24.206933333333335
Guanine nucleotide-binding protein G(k) subunit alpha,GNAI3,24.114533333333338,24.9563,28.7189,23.9782,24.9191,24.24593333333333
Guanine nucleotide-binding protein G(q) subunit alpha,GNAQ,24.335166666666666,24.657700000000002,26.0933,24.285133333333334,25.105833333333333,24.7764
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,GNB1,26.885033333333336,27.06443333333333,31.776866666666663,24.2043,28.926299999999998,30.766266666666667
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,GNB2,25.431033333333335,24.91933333333333,31.909999999999997,24.1553,26.76556666666667,30.54473333333333
"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed",GNB2L1,26.641133333333332,26.122366666666668,26.799333333333333,25.845266666666664,25.376433333333335,24.65573333333333
Guanine nucleotide-binding protein subunit beta-4,GNB4,24.63996666666667,25.136833333333332,29.006433333333334,24.5029,25.350133333333332,26.1099
Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5,GNG5,24.301266666666663,25.3961,29.4308,23.96036666666667,25.1152,27.62216666666667
N-acetylglucosamine-6-sulfatase,GNS,26.46043333333333,25.9318,23.900766666666666,25.371166666666667,25.0251,26.52163333333333
Glypican-1;Secreted glypican-1,GPC1,30.285666666666668,28.508800000000004,28.3565,30.804666666666666,28.2033,29.921133333333334
Glypican-6;Secreted glypican-6,GPC6,23.922766666666664,24.06586666666667,24.773833333333332,24.3172,24.320633333333333,28.797533333333334
G-protein coupled receptor family C group 5 member B,GPRC5B,24.281966666666666,25.386266666666668,24.72706666666667,24.776633333333336,25.104433333333333,28.2837
G protein-regulated inducer of neurite outgrowth 1,GPRIN1,24.657,24.477433333333334,25.9796,23.95283333333333,24.8212,24.817700000000002
Growth factor receptor-bound protein 2,GRB2,24.04393333333333,24.496766666666662,26.713166666666666,24.275433333333336,24.775899999999996,25.00123333333333
G protein-coupled receptor kinase 5,GRK5,24.282733333333336,24.839433333333332,26.307233333333333,24.971166666666665,25.295299999999997,24.2944
Granulins;Acrogranin;Paragranulin;Granulin-1;Granulin-2;Granulin-3;Granulin-4;Granulin-5;Granulin-6;Granulin-7,GRN,29.083033333333333,28.421466666666664,24.158600000000003,28.0421,27.066100000000002,27.864499999999996
Glycogen synthase kinase-3 beta,GSK3B,24.321233333333335,25.265933333333336,25.67786666666667,24.248666666666665,24.8639,24.33493333333333
Glutathione S-transferase omega-1,GSTO1,30.195333333333334,25.915533333333332,28.538466666666665,28.013733333333334,24.627333333333336,24.874466666666667
Glutathione S-transferase P,GSTP1,29.21773333333333,25.1972,28.506266666666665,28.697033333333334,25.478033333333332,29.470766666666666
Histone H2A.V;Histone H2A.Z,H2AFV;H2AFZ,24.628533333333333,24.482333333333333,24.534299999999998,24.5407,24.7715,27.628500000000003
Core histone macro-H2A.1,H2AFY,24.516499999999997,24.8828,23.8477,24.49266666666667,24.605,28.374133333333333
Histone H3;Histone H3.3,H3F3B;H3F3A,24.329766666666668,28.532733333333336,25.385766666666665,25.356066666666667,28.124233333333333,31.818
Hyaluronan and proteoglycan link protein 3,HAPLN3,23.391433333333335,24.190066666666667,29.521166666666662,24.474,25.346233333333334,24.596966666666663
Protein HEG homolog 1,HEG1,24.896266666666666,24.962166666666665,25.989033333333335,24.777599999999996,24.352633333333333,28.16016666666667
Hepatocyte growth factor;Hepatocyte growth factor alpha chain;Hepatocyte growth factor beta chain,HGF,33.04533333333333,28.910633333333333,31.573499999999996,30.1302,28.182866666666666,29.041866666666667
Hepatocyte growth factor activator;Hepatocyte growth factor activator short chain;Hepatocyte growth factor activator long chain,HGFAC,27.826000000000004,24.77123333333333,23.781000000000002,29.057533333333335,24.815033333333332,24.7727
Hepatocyte growth factor-regulated tyrosine kinase substrate,HGS,24.160600000000002,24.912800000000004,26.9328,24.52893333333333,25.197966666666662,27.930633333333333
Histone H1.5,HIST1H1B,26.14186666666667,26.831766666666667,24.12366666666667,28.072,25.67076666666667,31.014499999999998
Histone H1.2;Histone H1.1,HIST1H1C;HIST1H1A,25.98763333333333,27.4183,24.355866666666667,29.63806666666667,27.129500000000004,31.301766666666666
Histone H2A type 1-C;Histone H2A type 3;Histone H2A type 1-B/E;Histone H2A type 1-A,HIST1H2AC;HIST3H2A;HIST1H2AB;HIST1H2AA,24.69343333333333,25.56103333333333,23.794233333333334,24.501500000000004,25.036366666666666,29.1554
Histone H2B type 1-C/E/F/G/I,HIST1H2BC,24.786366666666666,30.79576666666667,24.53186666666667,24.211000000000002,27.925166666666666,33.1635
Histone H2B type 1-D,HIST1H2BD,27.185399999999998,29.94713333333333,28.3713,30.096233333333334,29.834933333333336,35.682566666666666
Histone H2B type 1-H;Histone H2B type 2-F,HIST1H2BH;HIST2H2BF,25.058766666666667,24.124233333333333,23.775033333333337,24.32256666666667,24.9747,31.136466666666667
Histone H2B type 1-K;Histone H2B type F-S,HIST1H2BK;H2BFS,24.4307,25.2745,23.4117,24.201833333333337,25.1887,31.185666666666666
Histone H4,HIST1H4A,26.2711,27.157233333333334,25.164033333333332,27.83353333333333,28.485366666666664,31.501499999999997
Histone H2A type 2-C;Histone H2A type 2-A,HIST2H2AC;HIST2H2AA3,25.2109,28.240366666666663,26.1221,29.492766666666668,29.1525,33.74943333333333
"HLA class I histocompatibility antigen, A-2 alpha chain",HLA-A,30.001966666666664,29.12216666666667,33.29833333333333,27.043566666666663,29.893766666666668,31.664533333333335
"HLA class I histocompatibility antigen, B-41 alpha chain;HLA class I histocompatibility antigen, B-18 alpha chain",HLA-B,24.034533333333332,24.73953333333333,29.185333333333332,24.792566666666662,25.673999999999996,24.232266666666664
"HLA class I histocompatibility antigen, B-48 alpha chain",HLA-B,23.849866666666667,25.064400000000003,30.1093,24.214466666666667,25.761633333333332,27.4426
"HLA class I histocompatibility antigen, B-40 alpha chain;HLA class I histocompatibility antigen, B-47 alpha chain;HLA class I histocompatibility antigen, B-13 alpha chain;HLA class I histocompatibility antigen, B-45 alpha chain;HLA class I histocompatibility antigen, B-27 alpha chain",HLA-B,28.607366666666667,28.6311,31.565699999999996,24.2214,28.2814,29.044866666666667
"HLA class I histocompatibility antigen, B-82 alpha chain",HLA-B,26.107533333333333,25.4301,29.560133333333336,23.992100000000004,25.3874,27.592566666666666
,HLA-C,24.91,24.822699999999998,28.945866666666664,24.654633333333333,25.601200000000002,24.761433333333333
"HLA class I histocompatibility antigen, Cw-7 alpha chain",HLA-C,24.58813333333333,24.322933333333335,26.8717,24.059833333333334,25.219833333333337,24.801433333333335
"HLA class I histocompatibility antigen, Cw-3 alpha chain",HLA-C,29.7238,24.221833333333336,30.042866666666665,27.57753333333333,24.96066666666667,24.725933333333334
High mobility group protein B1;Putative high mobility group protein B1-like 1,HMGB1;HMGB1P1,29.127333333333336,25.327733333333338,23.660200000000003,29.3417,25.511033333333334,27.444566666666663
High mobility group nucleosome-binding domain-containing protein 4,HMGN4,23.62093333333333,29.59723333333333,24.35943333333333,27.348433333333332,25.69373333333333,29.551433333333335
"Heterogeneous nuclear ribonucleoprotein A1;Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed;Heterogeneous nuclear ribonucleoprotein A1-like 2",HNRNPA1;HNRNPA1L2,28.338399999999996,28.531033333333337,27.104133333333333,29.147566666666666,27.727966666666664,28.495499999999996
Heterogeneous nuclear ribonucleoproteins A2/B1,HNRNPA2B1,29.5317,27.823433333333337,26.647766666666666,30.5284,28.204066666666666,28.128133333333334
Heterogeneous nuclear ribonucleoprotein A3,HNRNPA3,26.91893333333333,25.72526666666667,24.736900000000002,27.706400000000002,26.746233333333333,27.624399999999998
"Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H, N-terminally processed;Heterogeneous nuclear ribonucleoprotein H2",HNRNPH1;HNRNPH2,25.243533333333335,25.02423333333333,24.2751,24.115,24.656966666666666,26.09736666666667
Heterogeneous nuclear ribonucleoprotein K,HNRNPK,26.868166666666667,26.086566666666666,26.769133333333333,27.38393333333333,27.049666666666667,27.219466666666666
Heterogeneous nuclear ribonucleoprotein M,HNRNPM,25.84996666666667,24.55633333333333,23.876099999999997,24.427266666666668,25.163633333333333,26.01736666666667
Heterochromatin protein 1-binding protein 3,HP1BP3,24.424266666666668,24.8571,23.380133333333333,24.73563333333333,24.831599999999998,28.021833333333333
Neuron-specific calcium-binding protein hippocalcin;Hippocalcin-like protein 1;Neurocalcin-delta,HPCA;HPCAL1;NCALD,24.05973333333333,25.20906666666667,25.880599999999998,23.869033333333334,24.3811,24.32126666666667
"GTPase HRas;GTPase HRas, N-terminally processed",HRAS,32.054766666666666,32.90636666666666,35.7564,24.403899999999997,34.349500000000006,30.287433333333336
Endoplasmin,HSP90B1,29.287733333333332,27.018866666666668,29.700866666666666,29.105,27.146866666666668,30.447733333333332
Heat shock 70 kDa protein 1B;Heat shock 70 kDa protein 1A,HSPA1B;HSPA1A,27.83753333333333,27.288666666666668,27.878800000000002,27.956599999999998,24.68733333333333,29.146533333333338
Heat shock 70 kDa protein 4,HSPA4,28.379900000000003,25.453500000000002,28.543666666666667,27.248066666666663,25.850166666666667,27.2734
,HSPA8,23.718366666666668,25.358500000000003,26.701833333333337,24.7568,24.778000000000002,24.0506
Basement membrane-specific heparan sulfate proteoglycan core protein;Endorepellin;LG3 peptide,HSPG2,30.123166666666666,30.1183,29.884733333333333,32.24746666666667,30.623166666666666,35.38036666666667
Heat shock protein 105 kDa,HSPH1,27.05333333333333,24.875666666666664,27.16626666666666,24.2015,25.236566666666665,24.970433333333332
Intercellular adhesion molecule 1,ICAM1,30.759666666666664,29.789766666666665,34.76033333333333,24.394433333333335,32.317766666666664,28.8336
Intercellular adhesion molecule 5,ICAM5,28.105866666666667,25.804166666666664,28.24206666666667,25.0197,24.854400000000002,24.739866666666668
Insulin-like growth factor-binding protein 3,IGFBP3,30.864666666666665,26.347199999999997,27.709433333333333,30.642133333333334,24.8091,23.840233333333334
Insulin-like growth factor-binding protein 4,IGFBP4,34.37036666666666,32.371100000000006,27.118433333333332,34.40710000000001,30.72566666666667,29.677733333333332
Insulin-like growth factor-binding protein 6,IGFBP6,31.269833333333334,28.720533333333336,23.64663333333333,30.45676666666667,26.2958,25.131066666666666
Immunoglobulin superfamily member 8,IGSF8,23.770766666666663,28.177000000000003,31.690699999999996,24.3165,30.67233333333333,31.096733333333333
Interleukin-1 receptor accessory protein,IL1RAP,24.384566666666668,25.082566666666665,26.72583333333333,24.845866666666666,24.1567,24.471500000000002
Interleukin-6 receptor subunit beta,IL6ST,24.448933333333333,24.935366666666667,30.441333333333333,23.81826666666667,25.1668,24.872833333333332
Integrin-linked protein kinase,ILK,24.723799999999997,24.8954,28.29873333333333,24.160300000000003,24.92973333333333,27.488466666666667
Immunity-related GTPase family Q protein,IRGQ,25.129966666666665,25.3864,26.634733333333333,24.301299999999998,24.7038,24.408200000000004
E3 ubiquitin-protein ligase Itchy homolog,ITCH,24.468566666666664,25.700366666666667,25.675833333333333,24.568966666666668,25.84283333333333,24.338866666666664
Protein ITFG3,ITFG3,23.325333333333333,24.7692,29.89056666666667,24.30013333333333,25.6023,27.422233333333335
Integrin alpha-1,ITGA1,25.849966666666663,26.499,33.63,24.66033333333333,29.773966666666666,31.824933333333334
,ITGA2,24.403966666666665,25.3336,30.134933333333333,24.2111,24.5414,25.058733333333333
Integrin alpha-2,ITGA2,30.98013333333333,30.49133333333333,35.507866666666665,25.581,31.51193333333333,31.0337
Integrin alpha-3;Integrin alpha-3 heavy chain;Integrin alpha-3 light chain,ITGA3,24.357,26.719966666666664,32.322833333333335,24.2822,27.495433333333335,31.30966666666667
Integrin alpha-4,ITGA4,24.506833333333333,25.555066666666665,30.5348,24.341866666666665,24.760966666666665,27.309433333333335
Integrin alpha-5;Integrin alpha-5 heavy chain;Integrin alpha-5 light chain,ITGA5,25.155900000000003,27.779366666666665,31.959166666666665,23.761833333333332,30.470033333333333,29.198633333333333
Integrin alpha-6;Integrin alpha-6 heavy chain;Integrin alpha-6 light chain;Processed integrin alpha-6,ITGA6,24.3606,25.259900000000002,31.444433333333336,24.193066666666667,27.907799999999998,24.799633333333333
Integrin alpha-8;Integrin alpha-8 heavy chain;Integrin alpha-8 light chain,ITGA8,24.486099999999997,25.08626666666667,27.948633333333333,24.511466666666667,25.1868,24.629966666666665
Integrin alpha-V;Integrin alpha-V heavy chain;Integrin alpha-V light chain,ITGAV,25.339366666666667,25.340500000000002,33.114700000000006,24.448433333333337,29.09443333333333,30.122266666666665
Integrin beta-1,ITGB1,30.9156,31.678766666666665,35.414233333333335,27.244866666666667,33.022333333333336,32.974466666666665
Integrin beta;Integrin beta-3,ITGB3,24.468266666666665,24.776033333333334,31.592966666666666,24.065699999999996,28.719899999999996,29.847466666666666
Integrin beta-5,ITGB5,26.180400000000002,26.771866666666668,32.835166666666666,23.952366666666666,28.004566666666665,26.522566666666666
Tyrosine-protein kinase JAK1,JAK1,24.572033333333334,25.6424,27.170199999999998,24.74253333333333,24.580633333333335,24.32353333333333
Junctional adhesion molecule C,JAM3,24.27123333333333,24.967333333333332,28.098733333333332,24.791633333333333,24.95,23.713800000000003
"KH domain-containing, RNA-binding, signal transduction-associated protein 1",KHDRBS1,26.338866666666664,24.885099999999998,23.721366666666665,26.116799999999998,25.554666666666666,24.881600000000002
Kin of IRRE-like protein 1,KIRREL,24.1039,24.693766666666665,29.229933333333335,24.018533333333334,25.282966666666667,28.028233333333333
Kinesin light chain 1,KLC1,24.642300000000002,25.34176666666667,26.316133333333337,23.691433333333332,24.4178,24.675699999999996
Laminin subunit alpha-2,LAMA2,25.0374,26.869866666666667,24.40206666666667,26.527133333333335,26.694666666666667,25.881533333333334
Laminin subunit alpha-4,LAMA4,29.70113333333333,30.5479,30.400366666666667,32.608066666666666,30.637933333333336,33.778
Laminin subunit alpha-5,LAMA5,28.57556666666667,29.74766666666667,30.902966666666668,28.237133333333333,29.082399999999996,32.212266666666665
Laminin subunit beta-1,LAMB1,31.936933333333332,31.8274,31.761633333333332,32.75523333333334,31.203533333333336,33.8546
Laminin subunit beta-2,LAMB2,23.839566666666666,24.639133333333334,24.248333333333335,23.329433333333338,25.312966666666668,29.941600000000005
Laminin subunit gamma-1,LAMC1,32.49093333333334,33.25196666666667,32.7348,33.13583333333333,32.47196666666667,34.537933333333335
Lysosome-associated membrane glycoprotein 1,LAMP1,23.8433,25.5765,27.734199999999998,24.444266666666667,25.362966666666665,29.1751
Cytosol aminopeptidase,LAP3,23.754933333333337,25.153000000000002,26.998866666666668,23.8267,25.292866666666665,24.6421
Prolyl 3-hydroxylase 1,LEPRE1,27.091233333333335,26.923000000000002,26.59906666666667,26.9573,25.5532,24.866033333333334
Lethal(2) giant larvae protein homolog 1,LLGL1,24.670666666666666,24.92963333333333,26.693066666666667,24.816066666666668,25.3356,24.4585
Protein ERGIC-53,LMAN1,23.36536666666667,25.243,25.50923333333333,23.793233333333333,25.5667,24.182699999999997
Prelamin-A/C;Lamin-A/C,LMNA,30.734033333333333,26.591533333333334,24.3329,32.09386666666666,24.864333333333335,29.502133333333337
Lysyl oxidase homolog 2,LOXL2,33.8128,31.989566666666665,30.006533333333334,31.98766666666667,30.50356666666667,32.705933333333334
Lysophosphatidic acid receptor 1,LPAR1,24.5284,25.079866666666664,27.712433333333333,23.88743333333333,24.1618,29.6885
Leucine-rich repeat-containing protein 17,LRRC17,26.879833333333334,24.84086666666667,30.80763333333333,25.6066,24.641333333333336,26.149199999999997
Leucine-rich repeat-containing protein 32,LRRC32,24.819233333333333,25.222266666666666,25.42866666666667,24.477333333333334,25.105900000000002,24.1651
Leucine-rich repeat-containing protein 47,LRRC47,23.980933333333336,25.235833333333332,25.816466666666667,24.528166666666667,24.9555,24.903499999999998
Leucine-rich repeat-containing protein 59,LRRC59,27.6437,25.1734,23.8464,26.362099999999998,25.579566666666665,25.196466666666666
Latent-transforming growth factor beta-binding protein 2,LTBP2,31.73346666666667,29.347033333333332,26.504833333333334,31.953900000000004,27.44883333333333,29.48436666666667
Lumican,LUM,29.894066666666664,25.209099999999996,23.972166666666666,33.01406666666667,24.606333333333335,27.932866666666666
Microtubule-associated protein 1B;MAP1B heavy chain;MAP1 light chain LC1,MAP1B,28.07943333333333,24.54543333333333,23.456833333333336,27.237366666666663,25.380399999999998,24.786266666666666
Mitogen-activated protein kinase kinase kinase kinase 4,MAP4K4,25.485,25.084433333333333,29.373166666666666,24.552366666666668,25.617033333333335,27.799366666666668
Microtubule-associated protein RP/EB family member 1,MAPRE1,24.002633333333335,24.77553333333334,24.280866666666668,23.988333333333333,25.28016666666667,25.2655
Myristoylated alanine-rich C-kinase substrate,MARCKS,27.465500000000002,24.51236666666667,29.3917,29.236,24.702266666666663,30.223033333333333
MARCKS-related protein,MARCKSL1,24.81486666666667,27.7495,30.129,25.530833333333334,28.884366666666665,28.886033333333334
Midkine,MDK,30.22,24.852833333333333,26.781500000000005,31.268033333333335,24.903966666666665,29.39493333333333
Lactadherin;Lactadherin short form;Medin,MFGE8,31.3586,28.9933,33.514199999999995,32.29553333333333,30.681,35.18643333333333
MHC class I polypeptide-related sequence A,MICA,24.406733333333335,25.0313,27.602,24.22083333333333,25.615033333333333,25.158266666666663
Neprilysin,MME,24.745166666666666,26.140133333333335,31.002433333333332,24.378833333333336,28.4549,24.5223
Matrix metalloproteinase-14,MMP14,30.61566666666667,27.075699999999998,31.160566666666668,26.22993333333333,24.704666666666668,28.02496666666667
Myelin protein zero-like protein 1,MPZL1,23.607833333333332,24.991133333333334,28.007900000000003,24.6337,25.393266666666666,24.8857
C-type mannose receptor 2,MRC2,27.798233333333332,27.022966666666672,28.807066666666667,26.941000000000003,25.335966666666668,27.296366666666668
Mas-related G-protein coupled receptor member F,MRGPRF,24.174866666666663,24.4396,25.191599999999998,24.573400000000003,25.38253333333334,28.333433333333332
Metallothionein-2,MT2A,28.630633333333332,27.2672,30.339866666666666,24.782366666666665,24.660433333333334,26.552766666666667
Matrix-remodeling-associated protein 8,MXRA8,24.285899999999998,25.022366666666667,24.389300000000002,24.091066666666666,25.780366666666666,27.226266666666664
Myoferlin,MYOF,24.724866666666667,24.695899999999998,30.299533333333333,25.11893333333333,24.615433333333332,31.329066666666666
Alpha-soluble NSF attachment protein,NAPA,24.959033333333334,24.668566666666667,27.34663333333333,24.504166666666666,25.312866666666665,25.041766666666664
Gamma-soluble NSF attachment protein,NAPG,24.368366666666663,24.8663,27.681900000000002,24.263733333333334,24.857566666666667,24.291700000000002
"Asparagine--tRNA ligase, cytoplasmic",NARS,24.635566666666666,25.003966666666667,23.454633333333334,24.244033333333334,24.7213,25.80966666666667
Nck-associated protein 1,NCKAP1,24.770233333333334,24.612566666666666,27.57286666666667,24.834766666666667,25.16616666666667,25.598666666666663
Protein NDRG1,NDRG1,24.548333333333332,25.129633333333334,28.409266666666667,24.342399999999998,25.282466666666664,25.09013333333333
Nestin,NES,29.2877,26.657666666666668,29.022199999999998,26.930966666666666,25.4229,26.857433333333333
Nidogen-1,NID1,32.157000000000004,32.21353333333334,31.466566666666665,31.950599999999998,31.500433333333334,33.20223333333334
Nidogen-2,NID2,32.07243333333333,30.873533333333338,30.218499999999995,33.04193333333333,30.76653333333333,33.49963333333333
Neurogenic locus notch homolog protein 1;Notch 1 extracellular truncation;Notch 1 intracellular domain,NOTCH1,24.505366666666664,24.7931,29.15173333333333,24.217166666666667,25.261200000000002,23.576966666666664
Neurogenic locus notch homolog protein 3;Notch 3 extracellular truncation;Notch 3 intracellular domain,NOTCH3,25.055566666666664,24.287833333333335,27.684433333333335,23.913600000000002,25.01863333333333,26.752399999999998
Nucleophosmin,NPM1,30.582300000000004,25.121766666666662,23.959433333333333,30.674899999999997,25.25283333333333,28.530333333333335
"Pro-neuregulin-1, membrane-bound isoform;Neuregulin-1",NRG1,31.80303333333333,24.088399999999996,28.259833333333333,25.33583333333333,24.850266666666666,26.1046
Neuropilin-2,NRP2,23.909966666666666,24.672033333333335,27.133333333333336,23.835533333333334,25.11713333333333,25.09883333333333
5-nucleotidase,NT5E,29.741799999999998,29.0151,33.83593333333334,23.869799999999998,32.106500000000004,31.1414
Neurotrimin,NTM,28.9596,27.9875,29.972933333333334,25.3442,28.938733333333335,25.8552
Netrin-4,NTN4,24.699533333333335,25.54476666666667,24.4622,28.784233333333333,24.97713333333333,29.605233333333334
Neurotensin receptor type 1,NTSR1,23.810366666666667,25.0665,28.290899999999997,25.167266666666666,24.617,25.183466666666664
Protein numb homolog,NUMB,24.197333333333333,25.359233333333332,28.37483333333333,23.828500000000002,25.0755,24.475733333333334
Nuclear transport factor 2,NUTF2,24.834400000000002,25.4444,26.547066666666666,24.210566666666665,24.584966666666663,27.65733333333333
Ubiquitin thioesterase OTUB1,OTUB1,25.770766666666663,25.185166666666664,26.447433333333333,24.1532,24.679000000000002,24.42046666666667
Prolyl 4-hydroxylase subunit alpha-1,P4HA1,23.9881,26.361366666666665,28.31063333333333,24.31426666666667,25.079533333333334,26.490333333333336
Prolyl 4-hydroxylase subunit alpha-2,P4HA2,26.528766666666666,25.17486666666667,27.60213333333333,24.8129,25.0848,24.601700000000005
Polyadenylate-binding protein;Polyadenylate-binding protein 1;Polyadenylate-binding protein 3,PABPC1;PABPC3,27.4783,25.298600000000004,23.3959,26.035299999999996,25.516100000000005,24.828433333333333
Protein kinase C and casein kinase substrate in neurons protein 2,PACSIN2,24.972933333333334,24.544999999999998,26.22156666666667,24.4598,25.351133333333337,24.702466666666666
Protein kinase C and casein kinase substrate in neurons protein 3,PACSIN3,24.269199999999998,25.281966666666666,23.96506666666667,24.0664,24.750033333333334,25.9194
Palladin,PALLD,24.582566666666665,25.2166,26.842566666666666,24.459833333333332,24.660833333333333,27.646366666666665
,PALM2-AKAP2;PALM2,24.810333333333332,25.15863333333333,26.19813333333333,24.433633333333333,25.5313,24.688933333333335
Peptidyl-glycine alpha-amidating monooxygenase;Peptidylglycine alpha-hydroxylating monooxygenase;Peptidyl-alpha-hydroxyglycine alpha-amidating lyase,PAM,25.375433333333334,25.625133333333334,23.722400000000004,26.156966666666666,24.7163,24.539866666666665
Inactive serine protease PAMR1,PAMR1,30.943699999999996,28.233233333333335,28.929466666666666,28.927166666666665,25.751633333333334,26.00746666666667
Pre-B-cell leukemia transcription factor-interacting protein 1,PBXIP1,24.523300000000003,24.790233333333333,26.10026666666667,24.8235,24.792066666666667,27.26066666666667
Protocadherin-7,PCDH7,24.793266666666664,25.631633333333337,26.027500000000003,23.988699999999998,25.3407,24.296066666666665
Protocadherin gamma-B4,PCDHGB4,24.4884,25.020633333333336,25.555333333333333,23.82943333333333,25.48793333333333,24.769566666666666
Protocadherin gamma-B5,PCDHGB5,23.6987,24.819100000000002,28.099766666666667,24.56243333333333,25.6957,24.774133333333335
Protocadherin gamma-C3,PCDHGC3,23.881766666666667,24.5171,28.35286666666667,24.375133333333338,25.5448,26.57936666666667
Protein-L-isoaspartate O-methyltransferase;Protein-L-isoaspartate(D-aspartate) O-methyltransferase,PCMT1,26.703366666666668,24.551599999999997,27.499399999999998,24.6919,25.045366666666666,24.062033333333336
Procollagen C-endopeptidase enhancer 1,PCOLCE,32.8648,31.695400000000003,27.575666666666667,32.954100000000004,30.237,30.884733333333333
Programmed cell death protein 10,PDCD10,24.657700000000002,24.394966666666665,25.90543333333333,23.767633333333333,24.284133333333333,24.534233333333333
Programmed cell death 6-interacting protein,PDCD6IP,26.669033333333335,27.189733333333333,31.636166666666668,24.5682,26.602666666666664,32.78763333333333
"Platelet-derived growth factor C;Platelet-derived growth factor C, latent form;Platelet-derived growth factor C, receptor-binding form",PDGFC,24.616600000000002,25.431466666666665,26.348399999999998,24.707066666666666,25.630300000000002,24.056833333333334
Platelet-derived growth factor receptor alpha,PDGFRA;FIP1L1,24.537333333333333,25.186899999999998,23.878866666666667,24.357833333333332,25.321166666666667,26.671833333333336
Platelet-derived growth factor receptor beta,PDGFRB,25.853799999999996,25.694633333333332,31.359033333333333,24.4729,28.093266666666665,30.689399999999996
PDZ and LIM domain protein 1,PDLIM1,29.025866666666662,24.83496666666667,28.845166666666668,28.042433333333335,24.905833333333334,28.269333333333336
PDZ and LIM domain protein 4,PDLIM4,27.803266666666662,24.366066666666665,28.314333333333334,23.214,24.751633333333334,24.656166666666667
Phosphatidylethanolamine-binding protein 1;Hippocampal cholinergic neurostimulating peptide,PEBP1,28.422833333333333,25.026766666666663,27.28933333333333,28.38846666666667,24.142799999999998,28.119666666666664
Prefoldin subunit 1,PFDN1,24.676199999999998,24.996966666666665,26.4194,23.76053333333333,25.33106666666667,25.8039
Prefoldin subunit 2,PFDN2,27.072533333333336,24.8737,26.8357,24.029299999999996,24.628,25.073133333333335
"ATP-dependent 6-phosphofructokinase, liver type",PFKL,24.3798,25.129433333333335,27.783066666666667,23.908600000000003,25.498766666666665,24.113100000000003
Membrane-associated progesterone receptor component 1,PGRMC1,23.980566666666665,24.7225,24.256133333333334,24.05763333333333,25.270066666666665,27.0005
Prohibitin,PHB,24.917999999999996,25.01103333333333,25.89633333333333,23.9641,25.026233333333334,24.676533333333335
D-3-phosphoglycerate dehydrogenase,PHGDH,24.8599,25.0043,27.166700000000002,23.772233333333332,25.598766666666666,30.22763333333333
